,rationality,rank,switch_random,Run,Strat_Cooperate,Strat_Defect,Strat_TFT,Strat_Random,Strat_WSLS,Cooperators,Defectors
0,0.2197265625,0.0966796875,0.25927734375,0.0,10590.0,10510.0,137.0,322.0,180.0,218.0,198.0
1,0.6767578125,0.0966796875,0.25927734375,1.0,11947.0,9153.0,173.0,271.0,164.0,241.0,206.0
2,0.2197265625,0.2802734375,0.25927734375,2.0,11947.0,9153.0,173.0,271.0,164.0,241.0,206.0
3,0.2197265625,0.0966796875,0.45361328125,3.0,11947.0,9153.0,173.0,271.0,164.0,241.0,206.0
4,0.2197265625,0.2802734375,0.45361328125,4.0,11947.0,9153.0,173.0,271.0,164.0,241.0,206.0
5,0.6767578125,0.0966796875,0.45361328125,5.0,10509.0,10591.0,136.0,320.0,155.0,268.0,176.0
6,0.6767578125,0.2802734375,0.25927734375,6.0,9582.0,11518.0,122.0,302.0,214.0,226.0,191.0
7,0.6767578125,0.2802734375,0.45361328125,7.0,9806.0,11294.0,126.0,359.0,177.0,194.0,199.0
8,0.7197265625,0.5966796875,0.00927734375,8.0,10779.0,10321.0,132.0,309.0,178.0,207.0,229.0
9,0.1767578125,0.5966796875,0.00927734375,9.0,10779.0,10321.0,132.0,309.0,178.0,207.0,229.0
10,0.7197265625,0.7802734375,0.00927734375,10.0,8726.0,12374.0,95.0,390.0,196.0,218.0,156.0
11,0.7197265625,0.5966796875,0.20361328125,11.0,10904.0,10196.0,133.0,307.0,192.0,243.0,180.0
12,0.7197265625,0.7802734375,0.20361328125,12.0,11456.0,9644.0,164.0,271.0,182.0,207.0,231.0
13,0.1767578125,0.5966796875,0.20361328125,13.0,11456.0,9644.0,164.0,271.0,182.0,207.0,231.0
14,0.1767578125,0.7802734375,0.00927734375,14.0,11456.0,9644.0,164.0,271.0,182.0,207.0,231.0
15,0.1767578125,0.7802734375,0.20361328125,15.0,11456.0,9644.0,164.0,271.0,182.0,207.0,231.0
16,0.9697265625,0.3466796875,0.38427734375,16.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
17,0.9267578125,0.3466796875,0.38427734375,17.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
18,0.9697265625,0.5302734375,0.38427734375,18.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
19,0.9697265625,0.3466796875,0.07861328125,19.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
20,0.9697265625,0.5302734375,0.07861328125,20.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
21,0.9267578125,0.3466796875,0.07861328125,21.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
22,0.9267578125,0.5302734375,0.38427734375,22.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
23,0.9267578125,0.5302734375,0.07861328125,23.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
24,0.4697265625,0.8466796875,0.13427734375,24.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
25,0.4267578125,0.8466796875,0.13427734375,25.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
26,0.4697265625,0.0302734375,0.13427734375,26.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
27,0.4697265625,0.8466796875,0.32861328125,27.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
28,0.4697265625,0.0302734375,0.32861328125,28.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
29,0.4267578125,0.8466796875,0.32861328125,29.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
30,0.4267578125,0.0302734375,0.13427734375,30.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
31,0.4267578125,0.0302734375,0.32861328125,31.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
32,0.3447265625,0.4716796875,0.07177734375,32.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
33,0.3017578125,0.4716796875,0.07177734375,33.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
34,0.3447265625,0.1552734375,0.07177734375,34.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
35,0.3447265625,0.4716796875,0.39111328125,35.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
36,0.3447265625,0.1552734375,0.39111328125,36.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
37,0.3017578125,0.4716796875,0.39111328125,37.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
38,0.3017578125,0.1552734375,0.07177734375,38.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
39,0.3017578125,0.1552734375,0.39111328125,39.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
40,0.8447265625,0.9716796875,0.32177734375,40.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
41,0.8017578125,0.9716796875,0.32177734375,41.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
42,0.8447265625,0.6552734375,0.32177734375,42.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
43,0.8447265625,0.9716796875,0.14111328125,43.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
44,0.8447265625,0.6552734375,0.14111328125,44.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
45,0.8017578125,0.9716796875,0.14111328125,45.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
46,0.8017578125,0.6552734375,0.32177734375,46.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
47,0.8017578125,0.6552734375,0.14111328125,47.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
48,0.5947265625,0.2216796875,0.19677734375,48.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
49,0.0517578125,0.2216796875,0.19677734375,49.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
50,0.5947265625,0.9052734375,0.19677734375,50.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
51,0.5947265625,0.2216796875,0.01611328125,51.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
52,0.5947265625,0.9052734375,0.01611328125,52.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
53,0.0517578125,0.2216796875,0.01611328125,53.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
54,0.0517578125,0.9052734375,0.19677734375,54.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
55,0.0517578125,0.9052734375,0.01611328125,55.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
56,0.0947265625,0.7216796875,0.44677734375,56.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
57,0.5517578125,0.7216796875,0.44677734375,57.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
58,0.0947265625,0.4052734375,0.44677734375,58.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
59,0.0947265625,0.7216796875,0.26611328125,59.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
60,0.0947265625,0.4052734375,0.26611328125,60.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
61,0.5517578125,0.7216796875,0.26611328125,61.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
62,0.5517578125,0.4052734375,0.44677734375,62.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
63,0.5517578125,0.4052734375,0.26611328125,63.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
64,0.0634765625,0.1904296875,0.02490234375,64.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
65,0.4580078125,0.1904296875,0.02490234375,65.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
66,0.0634765625,0.6240234375,0.02490234375,66.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
67,0.0634765625,0.1904296875,0.12548828125,67.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
68,0.0634765625,0.6240234375,0.12548828125,68.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
69,0.4580078125,0.1904296875,0.12548828125,69.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
70,0.4580078125,0.6240234375,0.02490234375,70.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
71,0.4580078125,0.6240234375,0.12548828125,71.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
72,0.5634765625,0.6904296875,0.27490234375,72.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
73,0.9580078125,0.6904296875,0.27490234375,73.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
74,0.5634765625,0.1240234375,0.27490234375,74.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
75,0.5634765625,0.6904296875,0.37548828125,75.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
76,0.5634765625,0.1240234375,0.37548828125,76.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
77,0.9580078125,0.6904296875,0.37548828125,77.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
78,0.9580078125,0.1240234375,0.27490234375,78.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
79,0.9580078125,0.1240234375,0.37548828125,79.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
80,0.2197265625,0.0966796875,0.25927734375,80.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
81,0.6767578125,0.0966796875,0.25927734375,81.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
82,0.2197265625,0.2802734375,0.25927734375,82.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
83,0.2197265625,0.0966796875,0.45361328125,83.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
84,0.2197265625,0.2802734375,0.45361328125,84.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
85,0.6767578125,0.0966796875,0.45361328125,85.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
86,0.6767578125,0.2802734375,0.25927734375,86.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
87,0.6767578125,0.2802734375,0.45361328125,87.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
88,0.7197265625,0.5966796875,0.00927734375,88.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
89,0.1767578125,0.5966796875,0.00927734375,89.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
90,0.7197265625,0.7802734375,0.00927734375,90.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
91,0.7197265625,0.5966796875,0.20361328125,91.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
92,0.7197265625,0.7802734375,0.20361328125,92.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
93,0.1767578125,0.5966796875,0.20361328125,93.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
94,0.1767578125,0.7802734375,0.00927734375,94.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
95,0.1767578125,0.7802734375,0.20361328125,95.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
96,0.9697265625,0.3466796875,0.38427734375,96.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
97,0.9267578125,0.3466796875,0.38427734375,97.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
98,0.9697265625,0.5302734375,0.38427734375,98.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
99,0.9697265625,0.3466796875,0.07861328125,99.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
100,0.9697265625,0.5302734375,0.07861328125,100.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
101,0.9267578125,0.3466796875,0.07861328125,101.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
102,0.9267578125,0.5302734375,0.38427734375,102.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
103,0.9267578125,0.5302734375,0.07861328125,103.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
104,0.4697265625,0.8466796875,0.13427734375,104.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
105,0.4267578125,0.8466796875,0.13427734375,105.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
106,0.4697265625,0.0302734375,0.13427734375,106.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
107,0.4697265625,0.8466796875,0.32861328125,107.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
108,0.4697265625,0.0302734375,0.32861328125,108.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
109,0.4267578125,0.8466796875,0.32861328125,109.0,9990.0,11110.0,110.0,318.0,188.0,236.0,203.0
110,0.4267578125,0.0302734375,0.13427734375,110.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
111,0.4267578125,0.0302734375,0.32861328125,111.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
112,0.3447265625,0.4716796875,0.07177734375,112.0,10729.0,10371.0,130.0,315.0,184.0,238.0,188.0
113,0.3017578125,0.4716796875,0.07177734375,113.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
114,0.3447265625,0.1552734375,0.07177734375,114.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
115,0.3447265625,0.4716796875,0.39111328125,115.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
116,0.3447265625,0.1552734375,0.39111328125,116.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
117,0.3017578125,0.4716796875,0.39111328125,117.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
118,0.3017578125,0.1552734375,0.07177734375,118.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
119,0.3017578125,0.1552734375,0.39111328125,119.0,10897.0,10203.0,152.0,283.0,204.0,223.0,193.0
120,0.8447265625,0.9716796875,0.32177734375,120.0,10778.0,10322.0,135.0,292.0,175.0,262.0,191.0
121,0.8017578125,0.9716796875,0.32177734375,121.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
122,0.8447265625,0.6552734375,0.32177734375,122.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
123,0.8447265625,0.9716796875,0.14111328125,123.0,9198.0,11902.0,104.0,368.0,200.0,198.0,185.0
124,0.8447265625,0.6552734375,0.14111328125,124.0,10708.0,10392.0,141.0,337.0,226.0,191.0,160.0
125,0.8017578125,0.9716796875,0.14111328125,125.0,11220.0,9880.0,152.0,294.0,165.0,247.0,197.0
126,0.8017578125,0.6552734375,0.32177734375,126.0,10733.0,10367.0,121.0,298.0,167.0,252.0,217.0
