,rationality,Run,Cooperators,Defectors,Strat_Cooperate,Strat_Defect,Strat_Random,Strat_TFT,Strat_WSLS
0,0.0,0,11368,9732,138,254,192,267,204
1,0.0,1,12304,8796,150,229,200,251,225
2,0.0,2,10535,10565,146,307,212,207,183
3,0.0,3,10930,10170,134,307,146,239,229
4,0.0,4,11320,9780,112,269,199,226,249
5,0.0,5,10673,10427,103,297,194,228,233
6,0.0,6,10754,10346,150,306,202,222,175
7,0.0,7,10956,10144,125,283,219,219,209
8,0.0,8,10249,10851,147,340,192,220,156
9,0.0,9,10453,10647,139,325,167,240,184
10,0.0,10,10648,10452,150,318,159,242,186
11,0.0,11,11666,9434,158,264,170,237,226
12,0.0,12,11235,9865,136,291,163,255,210
13,0.0,13,11068,10032,131,275,193,224,232
14,0.0,14,10808,10292,132,310,175,220,218
15,0.0,15,10560,10540,137,310,193,202,213
16,0.0,16,9108,11992,126,376,193,197,163
17,0.0,17,11635,9465,169,273,158,258,197
18,0.0,18,9587,11513,108,337,181,270,159
19,0.0,19,10651,10449,142,308,198,209,198
20,0.0,20,9635,11465,125,348,211,184,187
21,0.0,21,10161,10939,81,310,193,261,210
22,0.0,22,10701,10399,114,318,192,201,230
23,0.0,23,9827,11273,124,339,191,204,197
24,0.0,24,10736,10364,136,326,166,207,220
25,0.0,25,9605,11495,103,355,179,219,199
26,0.0,26,10963,10137,170,283,183,242,177
27,0.0,27,10427,10673,141,321,180,216,197
28,0.0,28,12084,9016,146,253,169,283,204
29,0.0,29,10153,10947,124,357,177,179,218
30,0.0,30,11189,9911,158,296,189,181,231
31,0.0,31,10501,10599,131,306,176,247,195
32,0.0,32,10363,10737,123,335,176,224,197
33,0.0,33,11533,9567,125,281,161,290,198
34,0.0,34,12033,9067,155,261,165,271,203
35,0.0,35,10671,10429,159,300,221,210,165
36,0.0,36,11509,9591,132,276,177,256,214
37,0.0,37,10166,10934,125,330,175,236,189
38,0.0,38,10485,10615,114,327,197,225,192
39,0.0,39,10666,10434,153,295,193,234,180
40,0.0,40,11610,9490,140,270,166,282,197
41,0.0,41,10508,10592,105,293,247,204,206
