,switch_random,Run,Cooperators,Defectors,Strat_Cooperate,Strat_Defect,Strat_Random,Strat_TFT,Strat_WSLS
0,0.0,0,10392,10708,120,333,149,224,229
1,0.0,1,10712,10388,131,302,208,229,185
2,0.0,2,10830,10270,128,307,163,234,223
3,0.0,3,10826,10274,132,300,200,223,200
4,0.0,4,11018,10082,168,296,198,176,217
5,0.0,5,10124,10976,119,318,191,255,172
6,0.0,6,11800,9300,133,242,210,235,235
7,0.0,7,10611,10489,128,311,188,199,229
8,0.0,8,10664,10436,121,311,186,218,219
9,0.0,9,9845,11255,104,342,179,194,236
10,0.0,10,9847,11253,136,349,178,228,164
11,0.0,11,10817,10283,164,308,180,208,195
12,0.0,12,10827,10273,156,315,174,202,208
13,0.0,13,10692,10408,105,294,191,244,221
14,0.0,14,12108,8992,150,245,167,249,244
15,0.0,15,9132,11968,96,361,243,189,166
16,0.0,16,10066,11034,132,323,212,206,182
17,0.0,17,9852,11248,119,345,185,223,183
18,0.0,18,9941,11159,109,317,214,193,222
19,0.0,19,9763,11337,132,340,201,208,174
20,0.0,20,9823,11277,146,333,195,219,162
21,0.0,21,10314,10786,117,310,190,232,206
22,0.0,22,10102,10998,105,299,216,242,193
23,0.0,23,10556,10544,124,295,218,217,201
24,0.0,24,10508,10592,112,318,173,238,214
25,0.0,25,9079,12021,88,370,167,242,188
26,0.0,26,10367,10733,117,300,205,217,216
27,0.0,27,9995,11105,125,345,171,207,207
28,0.0,28,10184,10916,144,338,178,183,212
29,0.0,29,10684,10416,158,302,193,242,160
30,0.0,30,10212,10888,147,331,163,209,205
31,0.0,31,10539,10561,119,311,174,230,221
32,0.0,32,11243,9857,93,260,195,299,208
33,0.0,33,11568,9532,149,245,238,248,175
34,0.0,34,10572,10528,146,320,167,215,207
35,0.0,35,9724,11376,125,358,161,201,210
36,0.0,36,10972,10128,150,295,191,204,215
37,0.0,37,10206,10894,148,342,154,210,201
38,0.0,38,10631,10469,125,305,189,194,242
39,0.0,39,10028,11072,116,319,237,202,181
40,0.0,40,9611,11489,140,346,203,205,161
41,0.0,41,9844,11256,131,345,175,195,209
42,0.0,42,10539,10561,152,301,225,171,206
43,0.0,43,10430,10670,122,325,169,224,215
44,0.0,44,11436,9664,152,268,202,248,185
45,0.0,45,11428,9672,137,260,197,218,243
46,0.0,46,10361,10739,117,314,175,233,216
47,0.0,47,10464,10636,121,309,170,242,213
48,0.0,48,10491,10609,132,314,180,212,217
49,0.0,49,10612,10488,131,308,198,212,206
50,0.05555555555555555,50,9873,11227,129,329,215,194,188
51,0.05555555555555555,51,10619,10481,139,324,188,214,190
52,0.05555555555555555,52,9910,11190,97,342,178,229,209
53,0.05555555555555555,53,11042,10058,140,282,195,261,177
54,0.05555555555555555,54,11278,9822,157,298,166,221,213
55,0.05555555555555555,55,9996,11104,154,326,212,202,161
56,0.05555555555555555,56,10686,10414,125,295,204,240,191
57,0.05555555555555555,57,10558,10542,147,315,177,266,150
58,0.05555555555555555,58,10605,10495,115,302,188,237,213
59,0.05555555555555555,59,11300,9800,152,280,175,275,173
60,0.05555555555555555,60,9886,11214,125,322,214,209,185
61,0.05555555555555555,61,10794,10306,152,325,147,213,218
62,0.05555555555555555,62,8995,12105,117,380,201,193,164
63,0.05555555555555555,63,10122,10978,127,320,216,218,174
64,0.05555555555555555,64,9630,11470,105,378,155,232,185
65,0.05555555555555555,65,8885,12215,78,359,217,211,190
66,0.05555555555555555,66,10124,10976,108,339,193,197,218
67,0.05555555555555555,67,9880,11220,124,331,201,217,182
68,0.05555555555555555,68,10628,10472,118,314,181,251,191
